Cholera,A00-Cholera
"Akútna bronchiolitída, bližšie neurčená",J21.9-Akútna bronchiolitída, bližšie neurčená
"Akútna infekcia dolných dýchacích ciest, bližšie neurčená",J22-Akútna infekcia dolných dýchacích ciest,
Vazomotorická a alergická rinitída,J30-Vazomotorická a alergická rinitída
Vazomotorická rinitída,J30.0-Vazomotorická rinitída
Alergická rinitída zapríčinená peľom,J30.1-Alergická rinitída zapríčinená peľom
Iná sezónna alergická rinitída,J30.2-Iná sezónna alergická rinitída
Iná alergická rinitída,J30.3-Iná alergická rinitída
"Alergická rinitída, bližšie neurčená",J30.4-Alergická rinitída, bližšie neurčená
"Chronický zápal nosa, nosohltana a hltana",J31-Chronický zápal nosa, nosohltana a hltan
Chronický zápal nosa,J31.0-Chronický zápal nosa
Chronický zápal nosohltana,J31.1-Chronický zápal nosohltana
Chronický zápal hltana,J31.2-Chronický zápal hltana
Chronický zápal prinosových dutín,J32-Chronický zápal prinosových dutín
Chronický zápal čeľustnej dutiny,J32.0-Chronický zápal čeľustnej dutiny
Chronický zápal čelovej dutiny,J32.1-Chronický zápal čelovej dutiny
Chronický zápal čuchových dutín,J32.2-Chronický zápal čuchových dutín
Chronický zápal klinovitej dutiny,J32.3-Chronický zápal klinovitej dutiny
Chronická pansinusitída,J32.4-Chronická pansinusitída
Iná chronická sinusitída,J32.8-Iná chronická sinusitída
"Chronická sinusitída, bližšie neurčená",J32.9-Chronická sinusitída, bližšie neurčená
Nosový polyp,J33-Nosový polyp
Polyp nosovej dutiny,J33.0-Polyp nosovej dutiny
Deformujúca polypóza prinosovej dutiny,J33.1-Deformujúca polypóza prinosovej dutiny
Iný polyp prinosovej dutiny,J33.8-Iný polyp prinosovej dutiny
"Nosový polyp, bližšie neurčený",J33.9-Nosový polyp, bližšie neurčený
Iná choroba nosa a prinosových dutín,J34-Iná choroba nosa a prinosových dutín
"Absces, furunkul a karbunkul nosa",J34.0-Absces, furunkul a karbunkul nosa
Cysta a mukokéla nosa a prinosovej dutiny,J34.1-Cysta a mukokéla nosa a prinosovej dutin
Vybočenie nosovej priehradky,J34.2-Vybočenie nosovej priehradky
Hypertrofia nosových mušlí,J34.3-Hypertrofia nosových mušlí
"Iná choroba nosa a prinosových dutín, bližšie určená",J34.8-Iná choroba nosa a prinosových dutín, bl
Chronická choroba mandlí a adenoidného tkaniva,J35-Chronická choroba mandlí a adenoidného t
Chronický zápal mandlí,J35.0-Chronický zápal mandlí
Hyperplázia mandlí,J35.1-Hyperplázia mandlí
Hyperplázia adenoidného tkaniva,J35.2-Hyperplázia adenoidného tkaniva
Hypertrofia mandlí s hypertrofiou adenoidného tkaniva,J35.3-Hypertrofia mandlí s hypertrofiou adenoi
Iná chronická choroba mandlí a adenoidného tkaniva,J35.8-Iná chronická choroba mandlí a adenoidné
"Choroba mandlí a adenoidného tkaniva, bližšie neurčená",J35.9-Choroba mandlí a adenoidného tkaniva, bl
Peritonzilárny absces,J36-Peritonzilárny absces
Chronická laryngitída a chronická laryngotracheitída,J37-Chronická laryngitída a chronická laryng
Chronický zápal hrtana,J37.0-Chronický zápal hrtana
Chronický zápal hrtana a priedušnice,J37.1-Chronický zápal hrtana a priedušnice
"Choroba hlasiviek a hrtana, nezatriedená inde",J38-Choroba hlasiviek a hrtana, nezatriedená
"Obrna hlasiviek a hrtana, bližšie neurčená",J38.00-Obrna hlasiviek a hrtana, bližšie neurče
Jednostranná čiastočná obrna hlasiviek a hrtana,J38.01-Jednostranná čiastočná obrna hlasiviek a
Jednostranná kompletná obrna hlasiviek a hrtana,J38.02-Jednostranná kompletná obrna hlasiviek a
Obojstranná čiastočná obrna hlasiviek a hrtana,J38.03-Obojstranná čiastočná obrna hlasiviek a 
Polyp hlasivky a hrtana,J38.1-Polyp hlasivky a hrtana
Uzlíky hlasiviek,J38.2-Uzlíky hlasiviek
Iné choroby hlasiviek,J38.3-Iné choroby hlasiviek
Opuch hrtana,J38.4-Opuch hrtana
Spazmus hrtana,J38.5-Spazmus hrtana
Stenóza hrtana,J38.6-Stenóza hrtana
Iná choroba hrtana,J38.7-Iná choroba hrtana
Iná choroba horných dýchacích ciest,J39-Iná choroba horných dýchacích ciest
Retrofaryngový a parafaryngový absces,J39.0-Retrofaryngový a parafaryngový absces
Iný absces hltana,J39.1-Iný absces hltana
Iná choroba hltana,J39.2-Iná choroba hltana
Hypersenzitívna reakcia horných dýchacích ciest bez bližšieho určenia miesta,J39.3-Hypersenzitívna reakcia horných dýchacíc
Získaná stenóza priedušnice,J39.80-Získaná stenóza priedušnice
"Iná choroba horných dýchacích ciest, bližšie určená",J39.88-Iná choroba horných dýchacích ciest, bli
"Choroba horných dýchacích ciest, bližšie neurčená",J39.9-Choroba horných dýchacích ciest, bližšie
"Bronchitída, neurčená ako akútna alebo chronická",J40-Bronchitída, neurčená ako akútna alebo c
Jednoduchá a hlienovohnisová chronická bronchitída,J41-Jednoduchá a hlienovohnisová chronická b
Jednoduchá chronická bronchitída,J41.0-Jednoduchá chronická bronchitída
Hlienovohnisová chronická bronchitída,J41.1-Hlienovohnisová chronická bronchitída
Zmiešaná jednoduchá a hlienovohnisová chronická bronchitída,J41.8-Zmiešaná jednoduchá a hlienovohnisová ch
"Chronická bronchitída, bližšie neurčená",J42-Chronická bronchitída, bližšie neurčená
Emfyzém pľúc,J43-Emfyzém pľúc
MacLeodov syndróm,J43.0-MacLeodov syndróm
Panlobulárny emfyzém,J43.1-Panlobulárny emfyzém
Centrilobulárny emfyzém,J43.2-Centrilobulárny emfyzém
Iný emfyzém,J43.8-Iný emfyzém
"Emfyzém, bližšie neurčený",J43.9-Emfyzém, bližšie neurčený
Iná chronická obštrukčná choroba pľúc,J44-Iná chronická obštrukčná choroba pľúc
"Chronická obštrukčná choroba pľúc s akútnou infekciou dolných dýchacích ciest, FEV1 < 35% príslušnej hodnoty",J44.00-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou infekciou dolných dýchacích ciest, FEV1 >= 35 < 50% príslušnej hodnoty",J44.01-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou infekciou dolných dýchacích ciest, FEV1 >= 50% a < 70% príslušnej hodnoty",J44.02-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou infekciou dolných dýchacích ciest, FEV1 >= 70% príslušnej hodnoty",J44.03-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou infekciou dolných dýchacích ciest, hodnota FEV1 bližšie neurčená",J44.09-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou exacerbáciou choroby, bližšie neurčená, FEV1 < 35% príslušnej hodnoty",J44.10-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou exacerbáciou choroby, bližšie neurčená, FEV1 >= 35% a < 50% príslušnej hodnoty",J44.11-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou exacerbáciou choroby, bližšie neurčená, FEV1 >= 50% a < 70% príslušnej hodnoty",J44.12-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou exacerbáciou choroby, bližšie neurčená, FEV1 >= 70% príslušnej hodnoty",J44.13-Chronická obštrukčná choroba pľúc s akút
"Chronická obštrukčná choroba pľúc s akútnou exacerbáciou choroby, bližšie neurčená, hodnota FEV1 bližšie neurčená",J44.19-Chronická obštrukčná choroba pľúc s akút
"Iná chronická obštrukčná choroba pľúc, bližšie určená, FEV1 < 35% príslušnej hodnoty",J44.80-Iná chronická obštrukčná choroba pľúc, b
"Iná chronická obštrukčná choroba pľúc, bližšie určená, FEV1 >= 35% a < 50% príslušnej hodnoty",J44.81-Iná chronická obštrukčná choroba pľúc, b
"Iná chronická obštrukčná choroba pľúc, bližšie určená, FEV1 >= 50% a < 70% príslušnej hodnoty",J44.82-Iná chronická obštrukčná choroba pľúc, b
"Iná chronická obštrukčná choroba pľúc, bližšie určená, FEV1 >= 70% príslušnej hodnoty",J44.83-Iná chronická obštrukčná choroba pľúc, b
"Iná chronická obštrukčná choroba pľúc, bližšie určená, hodnota FEV1 bližšie neurčená",J44.89-Iná chronická obštrukčná choroba pľúc, b
"Chronická obštrukčná choroba pľúc, bližšie neurčená, FEV1 < 35% príslušnej hodnoty",J44.90-Chronická obštrukčná choroba pľúc, bližš
"Chronická obštrukčná choroba pľúc, bližšie neurčená, FEV1 >= 35% a < 50% príslušnej hodnoty",J44.91-Chronická obštrukčná choroba pľúc, bližš
"Chronická obštrukčná choroba pľúc, bližšie neurčená, FEV1 >= 50% a < 70% príslušnej hodnoty",J44.92-Chronická obštrukčná choroba pľúc, bližš
"Chronická obštrukčná choroba pľúc, bližšie neurčená, FEV1 >= 70% príslušnej hodnoty",J44.93-Chronická obštrukčná choroba pľúc, bližš
"Chronická obštrukčná choroba pľúc, bližšie neurčená, hodnota FEV1 bližšie neurčená",J44.99-Chronická obštrukčná choroba pľúc, bližš
Bronchiálna astma,J45-Bronchiálna astma
"Bronchiálna astma, prevažne alergická",J45.0-Bronchiálna astma, prevažne alergická
"Bronchiálna astma, nealergická",J45.1-Bronchiálna astma, nealergická
"Bronchiálna astma, zmiešaná",J45.8-Bronchiálna astma, zmiešaná
"Bronchiálna astma, bližšie neurčená",J45.9-Bronchiálna astma, bližšie neurčená
Status asthmaticus,J46-Status asthmaticus
Bronchiektázie,J47-Bronchiektázie
Pneumokonióza baníkov uhoľných baní,J60-Pneumokonióza baníkov uhoľných baní
Pneumokonióza zapríčinená azbestom a inými anorganickými vláknami,J61-Pneumokonióza zapríčinená azbestom a iný
Pneumokonióza zapríčinená prachom obsahujúcim kremík,J62-Pneumokonióza zapríčinená prachom obsahu
Pneumokonióza zapríčinená prachom mastenca (talkom),J62.0-Pneumokonióza zapríčinená prachom masten
Pneumokonióza zapríčinená iným prachom obsahujúcim kremík,J62.8-Pneumokonióza zapríčinená iným prachom o
Pneumokonióza zapríčinená inými anorganickými prachmi,J63-Pneumokonióza zapríčinená inými anorgani
Aluminóza (pľúc),J63.0-Aluminóza (pľúc)
Bauxitová fibróza (pľúc),J63.1-Bauxitová fibróza (pľúc)
Berylióza,J63.2-Berylióza
Grafitová fibróza (pľúc),J63.3-Grafitová fibróza (pľúc)
Sideróza,J63.4-Sideróza
Stanóza,J63.5-Stanóza
Pneumokonióza zapríčinená inými bližšie určenými anorganickými prachmi,J63.8-Pneumokonióza zapríčinená inými bližšie 
"Pneumokonióza, bližšie neurčená",J64-Pneumokonióza, bližšie neurčená
Pneumokonióza združená s tuberkulózou,J65-Pneumokonióza združená s tuberkulózou
Choroba dýchacích ciest zapríčinená špecifickým organickým prachom,J66-Choroba dýchacích ciest zapríčinená špec
Bysinóza,J66.0-Bysinóza
Choroba spracovateľov ľanu,J66.1-Choroba spracovateľov ľanu
Kanabinóza,J66.2-Kanabinóza
Choroba dýchacích ciest zapríčinená iným bližšie určeným organickým prachom,J66.8-Choroba dýchacích ciest zapríčinená iným
Alergická alveolitída zapríčinená organickým prachom,J67-Alergická alveolitída zapríčinená organi
Farmárske pľúca,J67.0-Farmárske pľúca
Bagasóza,J67.1-Bagasóza
Pľúcna choroba chovateľov vtákov,J67.2-Pľúcna choroba chovateľov vtákov
Suberóza,J67.3-Suberóza
Sladovnícke pľúca,J67.4-Sladovnícke pľúca
Pľúcna choroba pestovateľov húb,J67.5-Pľúcna choroba pestovateľov húb
Pľúcna choroba lúpačov javorovej kôry,J67.6-Pľúcna choroba lúpačov javorovej kôry
Pľúcna choroba zapríčinená klimatizačnými zariadeniami,J67.7-Pľúcna choroba zapríčinená klimatizačným
Alergická alveolitída zapríčinená iným organickým prachom,J67.8-Alergická alveolitída zapríčinená iným o
Alergická alveolitída zapríčinená bližšie neurčeným organickým prachom,J67.9-Alergická alveolitída zapríčinená bližši
"Choroby dýchacej sústavy zapríčinené chemikáliami, plynmi, dymom a výparmi",J68-Choroby dýchacej sústavy zapríčinené che
"Bronchitída a pneumonitída zapríčinená chemikáliami, plynmi, dymom a výparmi",J68.0-Bronchitída a pneumonitída zapríčinená c
"Akútny pľúcny edém, zapríčinený chemikáliami, plynmi, dymom a výparmi",J68.1-Akútny pľúcny edém, zapríčinený chemikál
"Zápal horných dýchacích ciest, zapríčinený chemikáliami, plynmi, dymom a výparmi",J68.2-Zápal horných dýchacích ciest, zapríčine
"Iná akútna a subakútna choroba dýchacej sústavy zapríčinená chemikáliami, plynmi, dymom a výparmi",J68.3-Iná akútna a subakútna choroba dýchacej 
"Chronická choroba dýchacej sústavy zapríčinená chemikáliami, plynmi, dymom a výparmi",J68.4-Chronická choroba dýchacej sústavy zaprí
"Iná choroba dýchacej sústavy zapríčinená chemikáliami, plynmi, dymom a výparmi",J68.8-Iná choroba dýchacej sústavy zapríčinená
"Bližšie neurčená choroba dýchacej sústavy zapríčinená chemikáliami, plynmi, dymom a výparmi",J68.9-Bližšie neurčená choroba dýchacej sústav
"Zápal pľúc, zapríčinený tuhými látkami a tekutinami",J69-Zápal pľúc, zapríčinený tuhými látkami a
"Zápal pľúc, zapríčinený vdýchnutím potravy a zvratkov",J69.0-Zápal pľúc, zapríčinený vdýchnutím potra
"Zápal pľúc, zapríčinený olejmi a esenciami",J69.1-Zápal pľúc, zapríčinený olejmi a esencia
"Zápal pľúc, zapríčinený inými tuhými látkami a tekutinami",J69.8-Zápal pľúc, zapríčinený inými tuhými lát
Choroba dýchacích orgánov zapríčinená inými vonkajšími faktormi,J70-Choroba dýchacích orgánov zapríčinená in
Akútne pľúcne prejavy zapríčinené žiarením,J70.0-Akútne pľúcne prejavy zapríčinené žiaren
Chronické a iné pľúcne prejavy zapríčinené žiarením,J70.1-Chronické a iné pľúcne prejavy zapríčine
Akútna pľúcna intersticiálna choroba zapríčinená liekmi,J70.2-Akútna pľúcna intersticiálna choroba zap
Chronická pľúcna intersticiálna choroba zapríčinená liekmi,J70.3-Chronická pľúcna intersticiálna choroba 
"Pľúcna intersticiálna choroba zapríčinená liekmi, bližšie neurčená",J70.4-Pľúcna intersticiálna choroba zapríčinen
Choroba dýchacej sústavy zapríčinená inými bližšie určenými vonkajšími faktormi,J70.8-Choroba dýchacej sústavy zapríčinená iný
Choroba dýchacej sústavy zapríčinená bližšie neurčenými vonkajšími faktormi,J70.9-Choroba dýchacej sústavy zapríčinená bli
Syndróm respiračnej tiesne  [ARDS],J80-Syndróm respiračnej tiesne  [ARDS]
Pľúcny opuch,J81-Pľúcny opuch
"Eozinofilný pľúcny infiltrát, nezatriedený inde",J82-Eozinofilný pľúcny infiltrát, nezatriede
Iná choroba interstícia pľúc,J84-Iná choroba interstícia pľúc
Alveolové a parietoalveolové stavy,J84.0-Alveolové a parietoalveolové stavy
Iná choroba interstícia pľúc s fibrózou,J84.1-Iná choroba interstícia pľúc s fibrózou
"Iná choroba interstícia pľúc, bližšie určená",J84.8-Iná choroba interstícia pľúc, bližšie ur
"Choroba interstícia pľúc, bližšie neurčená",J84.9-Choroba interstícia pľúc, bližšie neurče
Absces pľúc a mediastína,J85-Absces pľúc a mediastína
Gangréna a nekróza pľúc,J85.0-Gangréna a nekróza pľúc
Absces pľúc so zápalom pľúc,J85.1-Absces pľúc so zápalom pľúc
Absces pľúc bez zápalu pľúc,J85.2-Absces pľúc bez zápalu pľúc
Absces mediastína,J85.3-Absces mediastína
Pyotorax,J86-Pyotorax
Pyotorax s fistulou,J86.0-Pyotorax s fistulou
Pyotorax bez fistuly,J86.9-Pyotorax bez fistuly
"Pohrudnicový výpotok, nezatriedený inde",J90-Pohrudnicový výpotok, nezatriedený inde
Pohrudnicové zrasty,J92-Pohrudnicové zrasty
Pohrudnicové zrasty s prítomnosťou azbestom,J92.0-Pohrudnicové zrasty s prítomnosťou azbes
Pohrudnicové zrasty bez prítomnosti azbestu,J92.9-Pohrudnicové zrasty bez prítomnosti azbe
Pneumotorax,J93-Pneumotorax
Spontánny tenzný pneumotorax,J93.0-Spontánny tenzný pneumotorax
Iný spontánny pneumotorax,J93.1-Iný spontánny pneumotorax
Iný pneumotorax,J93.8-Iný pneumotorax
"Pneumotorax, bližšie neurčený",J93.9-Pneumotorax, bližšie neurčený
Iné choroby pohrudnice,J94-Iné choroby pohrudnice
Chylózny pohrudnicový výpotok,J94.0-Chylózny pohrudnicový výpotok
Fibrotorax,J94.1-Fibrotorax
Hemotorax,J94.2-Hemotorax
"Iná choroba pohrudnice, bližšie určená",J94.8-Iná choroba pohrudnice, bližšie určená
"Choroba pohrudnice, bližšie neurčená",J94.9-Choroba pohrudnice, bližšie neurčená
"Choroby dýchacích ciest po lekárskom výkone, nezatriedené inde",J95-Choroby dýchacích ciest po lekárskom výk
Porucha funkcie tracheostómie,J95.0-Porucha funkcie tracheostómie
Akútna pulmonálna insuficiencia po hrudníkovej operácii,J95.1-Akútna pulmonálna insuficiencia po hrudn
Akútna pulmonálna insuficiencia po mimohrudníkovom chirurgickom výkone,J95.2-Akútna pulmonálna insuficiencia po mimoh
Chronická pulmonálna insuficiencia po chirurgickom výkone,J95.3-Chronická pulmonálna insuficiencia po ch
Mendelsonov syndróm,J95.4-Mendelsonov syndróm
Subglotická stenóza po chirurgickom výkone,J95.5-Subglotická stenóza po chirurgickom výko
Iatrogénny pneumotorax,J95.80-Iatrogénny pneumotorax
Stenóza priedušnice po lekárskom výkone,J95.81-Stenóza priedušnice po lekárskom výkone
Iná porucha dýchacích orgánov po lekárskom výkone,J95.88-Iná porucha dýchacích orgánov po lekársk
"Porucha dýchacích orgánov po lekárskom výkone, bližšie neurčená",J95.9-Porucha dýchacích orgánov po lekárskom v
"Respiračná insuficiencia, nezatriedená inde",J96-Respiračná insuficiencia, nezatriedená i
"Akútna respiračná insuficiencia, nezatriedená inde, typ I (hypoxemický)",J96.00-Akútna respiračná insuficiencia, nezatri
"Akútna respiračná insuficiencia, nezatriedená inde, typ II (hyperkapnický typ)",J96.01-Akútna respiračná insuficiencia, nezatri
"Akútna respiračná insuficiencia, nezatriedená inde, typ bližšie neurčený",J96.09-Akútna respiračná insuficiencia, nezatri
"Chronická respiračná insuficiencia, nezatriedená inde, typ I (hypoxemický)",J96.10-Chronická respiračná insuficiencia, neza
"Chronická respiračná insuficiencia, nezatriedená inde, typ II (hyperkapnický)",J96.11-Chronická respiračná insuficiencia, neza
"Chronická respiračná insuficiencia, nezatriedená inde, typ bližšie neurčený",J96.19-Chronická respiračná insuficiencia, neza
"Respiračná insuficiencia, bližšie neurčená, typ I (hypoxemický)",J96.90-Respiračná insuficiencia, bližšie neurče
"Respiračná insuficiencia, bližšie neurčená, typ II (hyperkapnický)",J96.91-Respiračná insuficiencia, bližšie neurče
"Respiračná insuficiencia, bližšie neurčená, typ bližšie neurčený",J96.99-Respiračná insuficiencia, bližšie neurče
Iné choroby dýchacej sústavy,J98-Iné choroby dýchacej sústavy
"Choroby priedušiek, nezatriedené inde",J98.0-Choroby priedušiek, nezatriedené inde
Kolaps pľúc,J98.1-Kolaps pľúc
Intersticiálny emfyzém,J98.2-Intersticiálny emfyzém
Kompenzačný emfyzém,J98.3-Kompenzačný emfyzém
Iné choroby pľúc,J98.4-Iné choroby pľúc
Mediastinitída,J98.50-Mediastinitída
"Iné choroby mediastína, nezatriedené inde",J98.58-Iné choroby mediastína, nezatriedené ind
Choroby bránice,J98.6-Choroby bránice
"Iné choroba dýchacej sústavy, bližšie určené",J98.8-Iné choroba dýchacej sústavy, bližšie ur
"Choroba dýchacej sústavy, bližšie neurčená",J98.9-Choroba dýchacej sústavy, bližšie neurče
Poruchy vývinu a erupcie zubov,K00-Poruchy vývinu a erupcie zubov
Poruchy počtu zubov,K00.0-Poruchy počtu zubov
Nadpočetné zuby,K00.1-Nadpočetné zuby
Abnormalita veľkosti a tvaru zubov,K00.2-Abnormalita veľkosti a tvaru zubov
Škvrnité zuby,K00.3-Škvrnité zuby
Porucha tvorby zubov,K00.4-Porucha tvorby zubov
"Dedičná porucha zubnej štruktúry, nezatriedená inde",K00.5-Dedičná porucha zubnej štruktúry, nezatr
Porucha prerezávania zubov,K00.6-Porucha prerezávania zubov
Syndróm rastu chrupu,K00.7-Syndróm rastu chrupu
Iná porucha zubného vývinu,K00.8-Iná porucha zubného vývinu
"Porucha zubného vývinu, bližšie neurčená",K00.9-Porucha zubného vývinu, bližšie neurčená
Neprerezané a vrastené zuby,K01-Neprerezané a vrastené zuby
Neprerezané zuby,K01.0-Neprerezané zuby
Vrastené zuby,K01.1-Vrastené zuby
Zubný kaz,K02-Zubný kaz
Kaz ohraničený na sklovinu,K02.0-Kaz ohraničený na sklovinu
Kaz dentínu,K02.1-Kaz dentínu
Kaz cementu,K02.2-Kaz cementu
Zastavený zubný kaz,K02.3-Zastavený zubný kaz
Odontoklázia,K02.4-Odontoklázia
Zubný kaz s obnažením drene,K02.5-Zubný kaz s obnažením drene
Iný zubný kaz,K02.8-Iný zubný kaz
"Zubný kaz, bližšie neurčený",K02.9-Zubný kaz, bližšie neurčený
Iná choroba tvrdých tkanív zubov,K03-Iná choroba tvrdých tkanív zubov
Nadmerné obrusovanie zubov,K03.0-Nadmerné obrusovanie zubov
Abrázia zubov,K03.1-Abrázia zubov
Erózia zubov,K03.2-Erózia zubov
Patologická resorpcia koreňov zubov,K03.3-Patologická resorpcia koreňov zubov
Hypercementóza,K03.4-Hypercementóza
Ankylóza zubov,K03.5-Ankylóza zubov
Usadeniny [povlaky] na zuboch,K03.6-Usadeniny [povlaky] na zuboch
Farebné zmeny tvrdých zubných tkanív po prerezaní zubov,K03.7-Farebné zmeny tvrdých zubných tkanív po 
"Iné choroby tvrdých tkanív zubov, bližšie určené",K03.8-Iné choroby tvrdých tkanív zubov, bližši
"Choroby tvrdých tkanív zubov, bližšie neurčené",K03.9-Choroby tvrdých tkanív zubov, bližšie ne
Choroby zubnej drene a periapikálnych tkanív,K04-Choroby zubnej drene a periapikálnych tk
Zápal zubnej drene,K04.0-Zápal zubnej drene
Nekróza zubnej drene,K04.1-Nekróza zubnej drene
Degenerácia zubnej drene,K04.2-Degenerácia zubnej drene
Abnormálna tvorba tvrdého tkaniva v zubnej dreni,K04.3-Abnormálna tvorba tvrdého tkaniva v zubn
Akútna apikálna periodontitída dreňového pôvodu,K04.4-Akútna apikálna periodontitída dreňového
Chronická apikálna periodontitída,K04.5-Chronická apikálna periodontitída
Periapikálny absces s fistulou,K04.6-Periapikálny absces s fistulou
Periapikálny absces bez fistuly,K04.7-Periapikálny absces bez fistuly
Radikulárna cysta,K04.8-Radikulárna cysta
Iné a bližšie neurčené choroby zubnej drene a periapikálnych tkanív,K04.9-Iné a bližšie neurčené choroby zubnej dr
Zápal ďasien a choroba parodontu,K05-Zápal ďasien a choroba parodontu
Akútny zápal ďasien,K05.0-Akútny zápal ďasien
Chronický zápal ďasien,K05.1-Chronický zápal ďasien
Akútna parodontitída,K05.2-Akútna parodontitída
Chronická parodontitída,K05.3-Chronická parodontitída
Parodontóza,K05.4-Parodontóza
Iná choroba parodontu,K05.5-Iná choroba parodontu
"Choroba parodontu, bližšie neurčená",K05.6-Choroba parodontu, bližšie neurčená
Iná choroba ďasien a bezzubého alveolového hrebeňa,K06-Iná choroba ďasien a bezzubého alveolové
Atrofia ďasien,K06.0-Atrofia ďasien
Hypertrofia ďasien,K06.1-Hypertrofia ďasien
Poškodenie ďasien a bezzubého alveolového hrebeňa zapríčinené traumou,K06.2-Poškodenie ďasien a bezzubého alveolovéh
"Iná choroba ďasien a bezzubého alveolového hrebeňa, bližšie určená",K06.8-Iná choroba ďasien a bezzubého alveolové
"Choroba ďasien a bezzubého alveolového hrebeňa, bližšie neurčená",K06.9-Choroba ďasien a bezzubého alveolového h
Dentofaciálne anomálie (vrátane chýb zhryzu),K07-Dentofaciálne anomálie (vrátane chýb zhr
Väčšie anomálie veľkosti čeľustí,K07.0-Väčšie anomálie veľkosti čeľustí
Anomálie polohy čeľustí oproti lebkovej spodine,K07.1-Anomálie polohy čeľustí oproti lebkovej 
Anomálie vzájomnej polohy zubných oblúkov,K07.2-Anomálie vzájomnej polohy zubných oblúko
Anomálie postavenia zubov,K07.3-Anomálie postavenia zubov
"Chybný zhryz, bližšie neurčený",K07.4-Chybný zhryz, bližšie neurčený
Dentofaciálne funkčné abnormality,K07.5-Dentofaciálne funkčné abnormality
Choroba temporomandibulárneho kĺbu,K07.6-Choroba temporomandibulárneho kĺbu
Iné dentofaciálne anomálie,K07.8-Iné dentofaciálne anomálie
"Dentofaciálna anomália, bližšie neurčená",K07.9-Dentofaciálna anomália, bližšie neurčená
Iné choroby zubov a podporných štruktúr,K08-Iné choroby zubov a podporných štruktúr
Exfoliácia zubov zapríčinená systémovou chorobou,K08.0-Exfoliácia zubov zapríčinená systémovou 
"Strata zubov zapríčinená úrazom, extrakciou alebo lokálnou chorobou parodontu",K08.1-Strata zubov zapríčinená úrazom, extrakc
Atrofia bezzubého alveolového hrebeňa,K08.2-Atrofia bezzubého alveolového hrebeňa
Retinovaný zubný koreň [radix relicta],K08.3-Retinovaný zubný koreň [radix relicta]
Patologická zlomenina zuba,K08.81-Patologická zlomenina zuba
"Iné choroby zubov a podporných štruktúr, bližšie určené",K08.88-Iné choroby zubov a podporných štruktúr,
"Choroba zubov a podporných štruktúr, bližšie neurčená",K08.9-Choroba zubov a podporných štruktúr, bli
"Cysty v oblasti úst, nezatriedené inde",K09-Cysty v oblasti úst, nezatriedené inde
Vývinové odontogénne cysty,K09.0-Vývinové odontogénne cysty
Vývinové neodontogénne cysty úst a ústnej dutiny,K09.1-Vývinové neodontogénne cysty úst a ústne
Iné čeľustné cysty,K09.2-Iné čeľustné cysty
"Iné cysty v oblasti úst, nezatriedené inde",K09.8-Iné cysty v oblasti úst, nezatriedené in
"Cysta v oblasti úst, bližšie neurčená",K09.9-Cysta v oblasti úst, bližšie neurčená
Iné choroby čeľustí,K10-Iné choroby čeľustí
Vývinové choroby čeľustí,K10.0-Vývinové choroby čeľustí
Centrálny obrovskobunkový granulóm,K10.1-Centrálny obrovskobunkový granulóm
Absces maxily bez rozšírenia do retromaxilárneho priestoru alebo do fossa canina,K10.20-Absces maxily bez rozšírenia do retromax
Absces maxily s rozšírením do retromaxilárneho priestoru alebo do fossa canina,K10.21-Absces maxily s rozšírením do retromaxil
"Iný zápal čeľustí, bližšie určený",K10.28-Iný zápal čeľustí, bližšie určený
"Zápal čeľustí, bližšie neurčený",K10.29-Zápal čeľustí, bližšie neurčený
Alveolitída čeľustí,K10.3-Alveolitída čeľustí
"Iná choroba čeľustí, bližšie určená",K10.8-Iná choroba čeľustí, bližšie určená
"Choroba čeľustí, bližšie neurčená",K10.9-Choroba čeľustí, bližšie neurčená
Choroba slinných žliaz,K11-Choroba slinných žliaz
Atrofia slinných žliaz,K11.0-Atrofia slinných žliaz
Hypertrofia slinných žliaz,K11.1-Hypertrofia slinných žliaz
Sialoadenitída,K11.2-Sialoadenitída
Absces slinnej žľazy,K11.3-Absces slinnej žľazy
Fistula slinnej žľazy,K11.4-Fistula slinnej žľazy
Sialolitiáza,K11.5-Sialolitiáza
Mukokéla slinnej žľazy,K11.6-Mukokéla slinnej žľazy
Poruchy sekrécie slín,K11.7-Poruchy sekrécie slín
Iné choroby slinnej žľazy,K11.8-Iné choroby slinnej žľazy
"Choroba slinnej žľazy, bližšie neurčená",K11.9-Choroba slinnej žľazy, bližšie neurčená
Zápal sliznice úst a príbuzné choroby,K12-Zápal sliznice úst a príbuzné choroby
Recidivujúce ústne afty,K12.0-Recidivujúce ústne afty
Iná forma stomatitídy,K12.1-Iná forma stomatitídy
Flegmóna ústnej spodiny,K12.20-Flegmóna ústnej spodiny
