Cholera,A00-Cholera
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V14.03-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V14.04-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V14.08-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V14.09-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě,V14.1-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; sport,V14.10-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; volný čas,V14.11-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V14.12-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V14.13-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V14.14-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V14.18-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V14.19-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě,V14.2-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; sport,V14.20-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; volný čas,V14.21-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V14.22-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V14.23-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V14.24-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V14.28-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V14.29-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování,V14.3-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; sport,V14.30-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; volný čas,V14.31-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; výdělečná činnost,V14.32-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; jiné práce,V14.33-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; odpočinek‚ spánek‚ jídlo,V14.34-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; jiné určené činnosti,V14.38-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; osoba zraněná při nastupování nebo vystupování; neurčené činnosti,V14.39-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě,V14.4-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; sport,V14.40-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; volný čas,V14.41-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; výdělečná činnost,V14.42-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; jiné práce,V14.43-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V14.44-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; jiné určené činnosti,V14.48-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; řidič zraněný při provozní (silniční) nehodě; neurčené činnosti,V14.49-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě,V14.5-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; sport,V14.50-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; volný čas,V14.51-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; výdělečná činnost,V14.52-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; jiné práce,V14.53-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V14.54-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; jiné určené činnosti,V14.58-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; cestující zraněný při provozní (silniční) nehodě; neurčené činnosti,V14.59-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě,V14.9-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; sport,V14.90-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; volný čas,V14.91-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; výdělečná činnost,V14.92-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; jiné práce,V14.93-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V14.94-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; jiné určené činnosti,V14.98-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s těžkým nákladním vozidlem nebo autobusem; neurčený cyklista zraněný při provozní (silniční) nehodě; neurčené činnosti,V14.99-Cyklista zraněný při srážce s těžkým nák
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem,V15-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě,V15.0-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; sport,V15.00-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; volný čas,V15.01-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V15.02-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V15.03-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V15.04-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V15.08-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V15.09-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě,V15.1-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; sport,V15.10-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; volný čas,V15.11-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V15.12-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V15.13-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V15.14-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V15.18-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V15.19-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě,V15.2-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; sport,V15.20-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; volný čas,V15.21-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V15.22-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V15.23-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V15.24-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V15.28-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V15.29-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování,V15.3-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; sport,V15.30-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; volný čas,V15.31-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; výdělečná činnost,V15.32-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; jiné práce,V15.33-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; odpočinek‚ spánek‚ jídlo,V15.34-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; jiné určené činnosti,V15.38-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; osoba zraněná při nastupování nebo vystupování; neurčené činnosti,V15.39-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě,V15.4-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; sport,V15.40-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; volný čas,V15.41-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; výdělečná činnost,V15.42-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; jiné práce,V15.43-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V15.44-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; jiné určené činnosti,V15.48-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; řidič zraněný při provozní (silniční) nehodě; neurčené činnosti,V15.49-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě,V15.5-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; sport,V15.50-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; volný čas,V15.51-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; výdělečná činnost,V15.52-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; jiné práce,V15.53-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V15.54-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; jiné určené činnosti,V15.58-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; cestující zraněný při provozní (silniční) nehodě; neurčené činnosti,V15.59-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě,V15.9-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; sport,V15.90-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; volný čas,V15.91-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; výdělečná činnost,V15.92-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; jiné práce,V15.93-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V15.94-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; jiné určené činnosti,V15.98-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s železničním vlakem nebo železničním vozidlem; neurčený cyklista zraněný při provozní (silniční) nehodě; neurčené činnosti,V15.99-Cyklista zraněný při srážce s železniční
Cyklista zraněný při srážce s jiným nemotorovým vozidlem,V16-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě,V16.0-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; sport,V16.00-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; volný čas,V16.01-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V16.02-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V16.03-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V16.04-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V16.08-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V16.09-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě,V16.1-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; sport,V16.10-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; volný čas,V16.11-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V16.12-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V16.13-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V16.14-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V16.18-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V16.19-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě,V16.2-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; sport,V16.20-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; volný čas,V16.21-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; výdělečná činnost,V16.22-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; jiné práce,V16.23-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; odpočinek‚ spánek‚ jídlo,V16.24-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; jiné určené činnosti,V16.28-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; neurčený cyklista zraněný při neprovozní (mimosilniční) nehodě; neurčené činnosti,V16.29-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování,V16.3-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; sport,V16.30-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; volný čas,V16.31-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; výdělečná činnost,V16.32-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; jiné práce,V16.33-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; odpočinek‚ spánek‚ jídlo,V16.34-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; jiné určené činnosti,V16.38-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; osoba zraněná při nastupování nebo vystupování; neurčené činnosti,V16.39-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě,V16.4-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; sport,V16.40-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; volný čas,V16.41-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; výdělečná činnost,V16.42-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; jiné práce,V16.43-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V16.44-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; jiné určené činnosti,V16.48-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; řidič zraněný při provozní (silniční) nehodě; neurčené činnosti,V16.49-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě,V16.5-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě; sport,V16.50-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě; volný čas,V16.51-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě; výdělečná činnost,V16.52-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě; jiné práce,V16.53-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě; odpočinek‚ spánek‚ jídlo,V16.54-Cyklista zraněný při srážce s jiným nemo
Cyklista zraněný při srážce s jiným nemotorovým vozidlem; cestující zraněný při provozní (silniční) nehodě; jiné určené činnosti,V16.58-Cyklista zraněný při srážce s jiným nemo
